team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
RC Lens,,LEN,French Division 1,Felix-Bollaert,,,49580,,False
Lille,,LIL,French Division 1,Grimonprez-Jooris,,,24393,,False
Lyon,,LYO,French Division 1,Gerland,,,45000,,False
Martigues,,MRT,French Division 2,Francis-Turcan,,,15000,,False
FC Metz,,MET,French Division 1,Stadium Municipal,,,35200,,False
Monaco,,MON,French Division 1,Loius II,,,18500,,False
Montpellier,,MTP,French Division 1,La Mosson,,,25000,,False
Nantes,,NAN,French Division 1,La Beaujoire,,,34034,,False
Nice,,NIC,French Division 1,Ray,,,12500,,False
Paris SG,,PSG,French Division 1,Parc Des Princes,,,48725,,False
Rennes,,REN,French Division 1,Route de Lorient,,,21000,,False
St Etienne,,STE,French Division 2,Geoffroy-Guichard,,,47000,,False
Strasbourg,,STR,French Division 1,Stade de la Meinau,12 Rue de l'Extenwoerth,,41223,,False
Aberdeen,,ABE,Scottish Premier League,Pittodrie Stadium,Pittodrie Street,,21634,,False
Celtic,,CEL,Scottish Premier League,Celtic Park,95 Kerrydale Street,,34000,,False
Falkirk,,FAL,Scottish First Division,Brockville Park,Hope Street,,13840,,False
Hearts,,HEA,Scottish Premier League,Tynecastle Park,Gorgie Road,,13500,,False
Hibernian,,HIB,Scottish Premier League,Easter Road Park,Albion Road,,21889,,False
Kilmarnock,,KIL,Scottish Premier League,Rugby Park,Rugby Road,Ayrshire,12991,,False
Motherwell,,MOT,Scottish Premier League,Fir Park,Fir Park Street,,15500,,False
Partick,,PRT,Scottish First Division,Firhill,90 Firhill Road,,19243,,False
Raith,,RAI,Scottish Premier League,Starks Park,Pratt Street,,8159,,False
Rangers,,RAN,Scottish Premier League,Ibrox Stadium,150 Edminston Drive,,45407,,False
Barnsley,The Tykes,BSY,English First Division,Oakwell Ground,Grove Street,Yorkshire,27310,Danny Wilson,True
Birmingham,The Blues,BIR,English First Division,Saint Andrews,Birmingham,,28235,Trevor Francis,True
Charlton,The Addicks,CHA,English First Division,The Valley,Floyd Road,London,15000,Alan Curbishley,False
Crystal Palace,The Eagles,CPA,English First Division,Selhurst Park,Selhurst Park,London,26000,Dave Bassett,False
